"","doc_id","sentence","token","upos","Entity"
"276","doc42","oceanloving beach cleanerufa plastic pollution awarenessubufef impeachtrump ue muellerinvestigation rise people colorufa kamalaharris pres uufef","beach","DET","Hobbies"
"319","doc50","idk newly army idk w also occasional video content","army","NOUN","Profession"
"324","doc50","idk newly army idk w also occasional video content","video","NOUN","Profession"
"341","doc51","t looking good","good","ADJ","Personality"
"345","doc52","founder ceo educare student services educaremi <U+393C><U+3E32>s media network choualakhbar educareall educareall","student","NOUN","Profession"
"349","doc52","founder ceo educare student services educaremi <U+393C><U+3E32>s media network choualakhbar educareall educareall","media","X","Profession"
"350","doc52","founder ceo educare student services educaremi <U+393C><U+3E32>s media network choualakhbar educareall educareall","network","X","Profession"
"355","doc53","irish rugby lfc gcc banter rumpus","rugby","NOUN","Hobbies"
"361","doc54","pakistaniuffuff cricket loveru librauff insafiyanufe student bankinguf muslimu imran khan ka fan ufd follow kro gauf follow back don gauf","cricket","NOUN","Hobbies"
"365","doc54","pakistaniuffuff cricket loveru librauff insafiyanufe student bankinguf muslimu imran khan ka fan ufd follow kro gauf follow back don gauf","student","NOUN","Profession"
"423","doc61","woman mother andor society warned former lawyer now confused studying judge future corpse ufuf","lawyer","NOUN","Profession"
"441","doc62","mother nana christian loves america freedoms supports military menwomen blue support president donald j trump","support","NOUN","Profession"
"448","doc63","blogger pro writer network marketer make part success story","writer","NOUN","Profession"
"449","doc63","blogger pro writer network marketer make part success story","network","NOUN","Profession"
"456","doc64","certified accountant accounts consultant window blinds guru dependable","accountant","ADJ","Profession"
"458","doc64","certified accountant accounts consultant window blinds guru dependable","consultant","ADJ","Profession"
"469","doc65","will become person influence world someday university virginia fmoig valeeeematteo","university","NOUN","Profession"
"500","doc69","islam amuslim aljanaimmigrants bar<U+653C><U+3E37>a family ig iamadekolla aquarius","islam","AUX","Religion"
"528","doc71","participate socialeconomic political environment country","political","ADJ","Profession"
"539","doc72","certified monster zombie killer certified conservative save ammo pessimistic optimist christian agnostic genesis","pessimistic","ADJ","Personality"
"545","doc73","ufe director cinematographer producer ufa avn xbiz nominee best cinematographyufa adult content production company new productions coming soon ufac","director","NOUN","Profession"
"546","doc73","ufe director cinematographer producer ufa avn xbiz nominee best cinematographyufa adult content production company new productions coming soon ufac","cinematographer","NOUN","Profession"
"547","doc73","ufe director cinematographer producer ufa avn xbiz nominee best cinematographyufa adult content production company new productions coming soon ufac","producer","NOUN","Profession"
"557","doc73","ufe director cinematographer producer ufa avn xbiz nominee best cinematographyufa adult content production company new productions coming soon ufac","company","NOUN","Profession"
"563","doc74","research organisation india focuses countries eurasia httpstcohntwpbbgou","research","NOUN","Profession"
"582","doc76","im simply odd creature nature","nature","NOUN","Profession"
"587","doc78","plus year professional experience android build plus apps expert ui performance","professional","ADJ","Profession"
"588","doc78","plus year professional experience android build plus apps expert ui performance","experience","NOUN","Profession"
"607","doc81","dmb thath poker guitar travel chess philosophy science camping vanlife bizstrategist future place place better days","guitar","NOUN","Hobbies"
"609","doc81","dmb thath poker guitar travel chess philosophy science camping vanlife bizstrategist future place place better days","chess","NOUN","Hobbies"
"612","doc81","dmb thath poker guitar travel chess philosophy science camping vanlife bizstrategist future place place better days","camping","VERB","Hobbies"
"647","doc88","im loner strong combat","loner","VERB","Personality"
"666","doc91","kashi jyotish renowned numerologist gemologist rudraksh consultant famous astrologer scientific vastu expert practicing since last yrs","consultant","ADJ","Profession"
"668","doc91","kashi jyotish renowned numerologist gemologist rudraksh consultant famous astrologer scientific vastu expert practicing since last yrs","astrologer","NOUN","Profession"
"677","doc92","policy analyst advocate denver colorado singlepayer educationreform rcv prisonreform green peopleoverprofits simonvoltemondgmailcom","analyst","NOUN","Profession"
"678","doc92","policy analyst advocate denver colorado singlepayer educationreform rcv prisonreform green peopleoverprofits simonvoltemondgmailcom","advocate","NOUN","Profession"
"706","doc94","psychic relic new age groove oriented jam band diving rock blues classical music dance jazzfunk fusion flair based akron ohio","music","NOUN","Hobbies"
"707","doc94","psychic relic new age groove oriented jam band diving rock blues classical music dance jazzfunk fusion flair based akron ohio","dance","NOUN","Profession"
"715","doc95","head sales african leadership magazineuk","sales","NOUN","Profession"
"721","doc96","arkansas tech university <U+393C><U+3E35>zta<U+393C><U+3E35>","university","NOUN","Profession"
"728","doc97","cofounder mojotoronto freelance writer blogger thepopcornperiodical interests jokes ideas activism reviews news joys onelove uufuff","writer","NOUN","Profession"
"743","doc98","manufacturer wholesaler exporterer cricket accessories meerut india best exporting quality equipment","cricket","NOUN","Hobbies"
"749","doc98","manufacturer wholesaler exporterer cricket accessories meerut india best exporting quality equipment","quality","NOUN","Profession"
"757","doc99","usnavy veteran uufef petermanningnyc now creativefashion brand consultantufpassionate digitalfashion retailecommerce space","brand","ADV","Profession"
"765","doc100","award winning nigerian political cartoonists illustrator","political","ADJ","Profession"
"767","doc100","award winning nigerian political cartoonists illustrator","illustrator","NOUN","Profession"
"772","doc101","weve laughed ive cried supportive one gone forever together youll always insideufc","supportive","ADJ","Personality"
"784","doc104","water engineer period","engineer","NOUN","Profession"
"791","doc105","love sailor moon dr arrow video games dc marvel dark shadows penny dreadful true blood","video","NOUN","Profession"
"792","doc105","love sailor moon dr arrow video games dc marvel dark shadows penny dreadful true blood","games","NOUN","Hobbies"
"803","doc106","lead people humanitarian way","humanitarian","ADJ","Profession"
"822","doc109","videos reports capturing essence greek american community","community","NOUN","Profession"
"852","doc113","nice guy happy meet people make new friends","nice","ADJ","Personality"
"854","doc113","nice guy happy meet people make new friends","happy","ADJ","Personality"
"862","doc114","mom anglophile college graduate free spirit love volunteering german stuff","college","NOUN","Profession"
"870","doc115","marketing manager","marketing","NOUN","Profession"
"871","doc115","marketing manager","manager","NOUN","Profession"
"872","doc116","economist computer scientist sports guy","economist","ADJ","Profession"
"873","doc116","economist computer scientist sports guy","computer","NOUN","Profession"
"874","doc116","economist computer scientist sports guy","scientist","NOUN","Profession"
"875","doc116","economist computer scientist sports guy","sports","NOUN","Hobbies"
"915","doc125","offensive coordinatorqb<U+393C><U+3E32>sacademic success coach pacific lutheran u dcoach theshow golutes plufootball","coach","NOUN","Profession"
"927","doc127","technology gross catholic high school husband father soccer coach many","technology","NOUN","Profession"
"929","doc127","technology gross catholic high school husband father soccer coach many","catholic","ADJ","Religion"
"931","doc127","technology gross catholic high school husband father soccer coach many","school","NOUN","Profession"
"934","doc127","technology gross catholic high school husband father soccer coach many","soccer","NOUN","Hobbies"
"935","doc127","technology gross catholic high school husband father soccer coach many","coach","NOUN","Profession"
"947","doc129","siri sampada group founded holds spotlight comes realestate investment models phenomenal growth recent years telangana","investment","NOUN","Profession"
"948","doc129","siri sampada group founded holds spotlight comes realestate investment models phenomenal growth recent years telangana","models","NOUN","Hobbies"
"976","doc131","made new account stan account embarrassing","account","NOUN","Profession"
"978","doc131","made new account stan account embarrassing","account","NOUN","Profession"
"1013","doc135","will benefit man next door","next","ADJ","Organization"
"1021","doc137","useless anxious bisexual imbecile","anxious","ADJ","Personality"
"1032","doc138","hi syfyman otherwise known jimmy jr mmo gamer game streamer part star trek online fleet called specialized attack squadron","game","NOUN","Profession"
"1048","doc139","paul k culver second generation builder serving customers area three decades","builder","NOUN","Profession"
"1057","doc141","perfect gentle man","gentle","ADJ","Personality"
"1066","doc143","dedicated soularsenal freakfootball loverubdprogrammercomputer scientist u","scientist","NOUN","Profession"
"1080","doc146","management consultant <U+393C><U+3E35>","management","NOUN","Profession"
"1081","doc146","management consultant <U+393C><U+3E35>","consultant","NOUN","Profession"
"1085","doc146","wants drive social change communicative abilities","social","ADJ","Profession"
"1098","doc148","parliamentary editor journalist adventurer trainer great cook inspired caledonia media tweets mine mine","editor","NOUN","Profession"
"1099","doc148","parliamentary editor journalist adventurer trainer great cook inspired caledonia media tweets mine mine","journalist","NOUN","Profession"
"1106","doc148","parliamentary editor journalist adventurer trainer great cook inspired caledonia media tweets mine mine","media","NOUN","Profession"
"1111","doc149","cognitive neuroscientist umn interested decisionmaking computational psychiatry","neuroscientist","NOUN","Profession"
"1123","doc150","uff visual representing kpop mma want singer fans proud kim taehyung uf btstwt enthusiasm","singer","ADJ","Profession"
"1125","doc150","uff visual representing kpop mma want singer fans proud kim taehyung uf btstwt enthusiasm","proud","ADJ","Personality"
"1132","doc151","official twitter account mogale city local municipalityfollow us instagram mogalecitylm","twitter","NOUN","Organization"
"1133","doc151","official twitter account mogale city local municipalityfollow us instagram mogalecitylm","account","NOUN","Profession"
"1136","doc151","official twitter account mogale city local municipalityfollow us instagram mogalecitylm","local","ADJ","Profession"
"1150","doc153","nail tech hair stylist make artist","artist","NOUN","Profession"
"1156","doc155","aquinas college lacrosse","college","NOUN","Profession"
"1157","doc155","aquinas college lacrosse","lacrosse","NOUN","Hobbies"
"1161","doc157","comms officer becauseucare capebreton alumni stfx bed nscc pr cbu arts cape breton","officer","NOUN","Profession"
"1170","doc157","comms officer becauseucare capebreton alumni stfx bed nscc pr cbu arts cape breton","arts","NOUN","Hobbies"
"1179","doc158","little trump ufuffauff maga americafirst trump support troops support veterans military conservativenews udcuadducb ubucaubc ucucbubcube","support","NOUN","Profession"
"1181","doc158","little trump ufuffauff maga americafirst trump support troops support veterans military conservativenews udcuadducb ubucaubc ucucbubcube","support","VERB","Profession"
"1188","doc159","acting coach actresswriterproducer voiceoverartist director talentplus ambtalent","acting","VERB","Hobbies"
"1189","doc159","acting coach actresswriterproducer voiceoverartist director talentplus ambtalent","coach","NOUN","Profession"
"1192","doc159","acting coach actresswriterproducer voiceoverartist director talentplus ambtalent","director","NOUN","Profession"
"1235","doc165","punjabi music","music","NOUN","Hobbies"
"1279","doc171","keeping real everyone honest opinions probably people<U+393C><U+3E32>","honest","ADJ","Personality"
"1287","doc172","investor humanitarian founder fullcyclefund husseini group httpstcorvigjzoqb waste system lack imagination","humanitarian","ADJ","Profession"
"1297","doc173","proud father lucky husband lover things curling ball","proud","ADJ","Personality"
"1299","doc173","proud father lucky husband lover things curling ball","lucky","ADJ","Personality"
"1303","doc173","proud father lucky husband lover things curling ball","curling","VERB","Hobbies"
"1304","doc173","proud father lucky husband lover things curling ball","ball","NOUN","Organization"
"1334","doc180","loyal human kind civility make disagreements tolerable views expressed personal","loyal","ADJ","Personality"
"1336","doc180","loyal human kind civility make disagreements tolerable views expressed personal","kind","NOUN","Personality"
"1349","doc182","ufuub uuudueuuduuub ucufuff good good","good","ADJ","Personality"
"1350","doc182","ufuub uuudueuuduuub ucufuff good good","good","ADJ","Personality"
"1352","doc183","fun loving free spirit series addicttough lover mother multiples see get","loving","ADJ","Personality"
"1364","doc185","runner sports enthusiast blueberry grower","sports","NOUN","Hobbies"
"1371","doc186","resistance fbr love music genres love animals anyone harms animal sb fed prison like baseball go angels cubs orioles love laugh","music","NOUN","Hobbies"
"1382","doc186","resistance fbr love music genres love animals anyone harms animal sb fed prison like baseball go angels cubs orioles love laugh","baseball","NOUN","Hobbies"
"1394","doc189","graphics designer","designer","NOUN","Profession"
"1397","doc190","love types music love walking beach furry kidsi enjoy readingnaturelove concerts plays love answer laughter believer","music","NOUN","Hobbies"
"1399","doc190","love types music love walking beach furry kidsi enjoy readingnaturelove concerts plays love answer laughter believer","walking","VERB","Hobbies"
"1400","doc190","love types music love walking beach furry kidsi enjoy readingnaturelove concerts plays love answer laughter believer","beach","DET","Hobbies"
"1411","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","medical","ADJ","Profession"
"1412","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","student","NOUN","Profession"
"1414","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","college","NOUN","Profession"
"1416","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","business","NOUN","Profession"
"1417","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","management","NOUN","Profession"
"1420","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","business","NOUN","Profession"
"1421","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","school","NOUN","Profession"
"1423","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","humanitarian","ADJ","Profession"
"1424","doc191","medical student imperial college london business management bsc imperial business school un humanitarian affairs peace ambassador sfghuk wearesfgh","affairs","NOUN","Profession"
"1443","doc193","just like hanging nyc im sobbing spongebob closed ranting disney panic attacks school ufadpvhs theatreufad","school","NOUN","Profession"
"1446","doc194","building strong community love growth let<U+393C><U+3E32>s help reach highest potential everyday dawn malik ali ufc","building","NOUN","Profession"
"1448","doc194","building strong community love growth let<U+393C><U+3E32>s help reach highest potential everyday dawn malik ali ufc","community","NOUN","Profession"
"1464","doc195","whats good africas urban contemporary culture","good","ADJ","Personality"
"1503","doc200","im geometry dash girlgamer loves playing games fortnite makes cringes face person hacked demon stats btw beat bassufufd","games","NOUN","Hobbies"
"1516","doc201","news producer newswtsp wvu grad maryland uaufef florida letsgocaps","producer","NOUN","Profession"
"1529","doc202","successful businesswoman ceo zipcoin exchange technology future cryptocurrency blockchain eos ico exchange zip education awareness","technology","NOUN","Profession"
"1537","doc202","successful businesswoman ceo zipcoin exchange technology future cryptocurrency blockchain eos ico exchange zip education awareness","education","NOUN","Profession"
"1550","doc204","dont ask upto keep checking tweet writer peace creator interior designer creative headshreya designsexbankeraspiring ca","writer","NOUN","Profession"
"1554","doc204","dont ask upto keep checking tweet writer peace creator interior designer creative headshreya designsexbankeraspiring ca","designer","NOUN","Profession"
"1555","doc204","dont ask upto keep checking tweet writer peace creator interior designer creative headshreya designsexbankeraspiring ca","creative","ADJ","Personality"
"1558","doc204","dont ask upto keep checking tweet writer peace creator interior designer creative headshreya designsexbankeraspiring ca","ca","NOUN","Organization"
"1559","doc205","chairman gpms selangor proud malaysian uffuffe <U+393C><U+3E33>truth will always prevail<U+393C><U+3E34>","chairman","NOUN","Profession"
"1562","doc205","chairman gpms selangor proud malaysian uffuffe <U+393C><U+3E33>truth will always prevail<U+393C><U+3E34>","proud","ADJ","Personality"
"1603","doc209","digital advertiser braves fan relocated texas loving lone star state","loving","ADJ","Personality"
"1611","doc210","husband beautiful wife carrie proud father divided house fsu ufc uf fan michigan ufc eagles resistance","proud","ADJ","Personality"
"1660","doc217","school transformation new millennium","school","NOUN","Profession"
"1686","doc220","aviation consultant traveller husband ramani father evan stevenskylightaviationcom","consultant","NOUN","Profession"
"1695","doc221","news dc music film food theater books drinks sports washington post express","music","NOUN","Hobbies"
"1696","doc221","news dc music film food theater books drinks sports washington post express","film","NOUN","Profession"
"1697","doc221","news dc music film food theater books drinks sports washington post express","food","NOUN","Profession"
"1701","doc221","news dc music film food theater books drinks sports washington post express","sports","NOUN","Hobbies"
"1725","doc225","considered one thorough insightful analysis cre arena boston media group dissecting investment real estate asset market","media","NOUN","Profession"
"1728","doc225","considered one thorough insightful analysis cre arena boston media group dissecting investment real estate asset market","investment","NOUN","Profession"
"1732","doc225","considered one thorough insightful analysis cre arena boston media group dissecting investment real estate asset market","market","NOUN","Profession"
"1740","doc227","remain ufeauffa joni soul music fan <U+393C><U+3E32>s going life","music","X","Hobbies"
"1747","doc228","former ut chemical engineering current ut government future pilot","chemical","ADJ","Profession"
"1748","doc228","former ut chemical engineering current ut government future pilot","engineering","NOUN","Profession"
"1751","doc228","former ut chemical engineering current ut government future pilot","government","NOUN","Profession"
"1755","doc229","businessman entrepreneur investor business developer leader former linebacker nc state univ go pack","entrepreneur","NOUN","Profession"
"1757","doc229","businessman entrepreneur investor business developer leader former linebacker nc state univ go pack","business","NOUN","Profession"
"1758","doc229","businessman entrepreneur investor business developer leader former linebacker nc state univ go pack","developer","NOUN","Profession"
"1785","doc231","taken uuuu daddy baby kylor uf acuadc favorite band inked xufuf fishing ufaufeufe","fishing","VERB","Hobbies"
"1804","doc233","cptsd support narcissistic abuse recovery ministry","support","NOUN","Profession"
"1805","doc233","cptsd support narcissistic abuse recovery ministry","narcissistic","ADJ","Personality"
"1810","doc234","live design mother dream builder coach mission help transform possibilities reality","design","NOUN","Profession"
"1813","doc234","live design mother dream builder coach mission help transform possibilities reality","builder","NOUN","Profession"
"1814","doc234","live design mother dream builder coach mission help transform possibilities reality","coach","NOUN","Profession"
"1833","doc237","inspiring quotes motivate life uf follow happy thoughts u","happy","ADJ","Personality"
"1836","doc238","professional sleeper professional researcher love films sherlock holmes beach laughter","professional","ADJ","Profession"
"1838","doc238","professional sleeper professional researcher love films sherlock holmes beach laughter","professional","ADJ","Profession"
"1839","doc238","professional sleeper professional researcher love films sherlock holmes beach laughter","researcher","NOUN","Profession"
"1844","doc238","professional sleeper professional researcher love films sherlock holmes beach laughter","beach","DET","Hobbies"
"1868","doc243","news sports wwe government politics","sports","NOUN","Hobbies"
"1870","doc243","news sports wwe government politics","government","NOUN","Profession"
"1871","doc243","news sports wwe government politics","politics","NOUN","Hobbies"
"1886","doc248","super bowl free game live nfl game live stream","game","NOUN","Profession"
"1889","doc248","super bowl free game live nfl game live stream","game","NOUN","Profession"
"1896","doc249","father cutest triplets small business owner husband best wife world","business","NOUN","Profession"
"1909","doc250","youtuber podcast host blogger hiphop fan selfemployed sports analysist exstudent ohmediaschool greeter homedepot","sports","NOUN","Hobbies"
"1921","doc252","conservative sports music apple iphone technology gadgets muscle cars new balance","sports","NOUN","Hobbies"
"1922","doc252","conservative sports music apple iphone technology gadgets muscle cars new balance","music","NOUN","Hobbies"
"1923","doc252","conservative sports music apple iphone technology gadgets muscle cars new balance","apple","VERB","Organization"
"1925","doc252","conservative sports music apple iphone technology gadgets muscle cars new balance","technology","NOUN","Profession"
"1951","doc256","trusted voice everything business","business","NOUN","Profession"
"1956","doc257","husband father crossfitter vp marketing soil scientist acc educated clemson nc state unc","marketing","NOUN","Profession"
"1957","doc257","husband father crossfitter vp marketing soil scientist acc educated clemson nc state unc","soil","NOUN","Profession"
"1958","doc257","husband father crossfitter vp marketing soil scientist acc educated clemson nc state unc","scientist","NOUN","Profession"
"1968","doc259","proud indian learner politics secular tech maven sports aficionado car lover travel nerd foodie zombie guru","proud","ADJ","Personality"
"1971","doc259","proud indian learner politics secular tech maven sports aficionado car lover travel nerd foodie zombie guru","politics","NOUN","Hobbies"
"1975","doc259","proud indian learner politics secular tech maven sports aficionado car lover travel nerd foodie zombie guru","sports","NOUN","Hobbies"
"1981","doc259","proud indian learner politics secular tech maven sports aficionado car lover travel nerd foodie zombie guru","foodie","NOUN","Personality"
"1986","doc260","inspire world good ufcufcufc btstwt magic shop u ot ufc","good","ADJ","Personality"
"1989","doc260","inspire world good ufcufcufc btstwt magic shop u ot ufc","magic","NOUN","Hobbies"
"1995","doc261","freelance writer editor professional resume writer science astronomy politics junkie voracious bibliophile animal civil rights advocate","writer","NOUN","Profession"
"1996","doc261","freelance writer editor professional resume writer science astronomy politics junkie voracious bibliophile animal civil rights advocate","editor","NOUN","Profession"
"1997","doc261","freelance writer editor professional resume writer science astronomy politics junkie voracious bibliophile animal civil rights advocate","professional","ADJ","Profession"
"1999","doc261","freelance writer editor professional resume writer science astronomy politics junkie voracious bibliophile animal civil rights advocate","writer","NOUN","Profession"
"2001","doc261","freelance writer editor professional resume writer science astronomy politics junkie voracious bibliophile animal civil rights advocate","astronomy","NOUN","Hobbies"
"2002","doc261","freelance writer editor professional resume writer science astronomy politics junkie voracious bibliophile animal civil rights advocate","politics","NOUN","Hobbies"
"2007","doc261","freelance writer editor professional resume writer science astronomy politics junkie voracious bibliophile animal civil rights advocate","civil","ADJ","Profession"
"2009","doc261","freelance writer editor professional resume writer science astronomy politics junkie voracious bibliophile animal civil rights advocate","advocate","NOUN","Profession"
"2027","doc263","excellent recruitment ondemand comes ufa ceo hroptimist","recruitment","NOUN","Profession"
"2034","doc264","middle school math teacher coach edtech enthusiast coffee fanatic ufudufebuufefufudufbbufcufduffufed change begins whisper","school","NOUN","Profession"
"2036","doc264","middle school math teacher coach edtech enthusiast coffee fanatic ufudufebuufefufudufbbufcufduffufed change begins whisper","teacher","NOUN","Profession"
"2037","doc264","middle school math teacher coach edtech enthusiast coffee fanatic ufudufebuufefufudufbbufcufduffufed change begins whisper","coach","NOUN","Profession"
"2047","doc265","intuitive painting fearless extrinsic obfuscation differential coefficient absurdism","painting","NOUN","Hobbies"
"2048","doc265","intuitive painting fearless extrinsic obfuscation differential coefficient absurdism","fearless","ADJ","Personality"
"2067","doc267","semper fi good pass","good","ADJ","Personality"
"2070","doc269","proud deplorable ufduffauffuffauffuffauffuffauff","proud","ADJ","Personality"
"2088","doc270","run victoria sunday october marathon half marathon k road race thrifty foods kids run register volunteer today","volunteer","NOUN","Hobbies"
"2095","doc272","political views misanthropic","political","ADJ","Profession"
"2117","doc275","every child deserves quality education healthy living sharing new ideas put reality transformation generations come","quality","ADJ","Profession"
"2118","doc275","every child deserves quality education healthy living sharing new ideas put reality transformation generations come","education","NOUN","Profession"
"2158","doc280","everywhere music sports outdoors","music","NOUN","Hobbies"
"2159","doc280","everywhere music sports outdoors","sports","NOUN","Hobbies"
"2179","doc283","joeymadaufa ubeptub independent music artist producer madluv ufaf madgodz ufufufinstamadgodzjoeymadamse","music","NOUN","Hobbies"
"2180","doc283","joeymadaufa ubeptub independent music artist producer madluv ufaf madgodz ufufufinstamadgodzjoeymadamse","artist","NOUN","Profession"
"2181","doc283","joeymadaufa ubeptub independent music artist producer madluv ufaf madgodz ufufufinstamadgodzjoeymadamse","producer","NOUN","Profession"
"2189","doc285","environmental compliance bc changes enforcement education report polluters poachers rapp collection notice httpstcomjsrzoyvpc","environmental","ADJ","Profession"
"2194","doc285","environmental compliance bc changes enforcement education report polluters poachers rapp collection notice httpstcomjsrzoyvpc","education","NOUN","Profession"
"2210","doc286","pro drum player disabled truck driver mechanic welder humble easy going blessed high god","humble","NOUN","Personality"
"2231","doc288","district commander ndss views express site reflect official view position city miami","site","NOUN","Profession"
"2272","doc295","student adelaide architecture building design cycling","student","NOUN","Profession"
"2275","doc295","student adelaide architecture building design cycling","building","NOUN","Profession"
"2276","doc295","student adelaide architecture building design cycling","design","NOUN","Profession"
"2289","doc297","must watch tv features updated urban commentary hiphop sports social media vlogging subscribe videos httpstcokkvzjnivo","sports","NOUN","Hobbies"
"2290","doc297","must watch tv features updated urban commentary hiphop sports social media vlogging subscribe videos httpstcokkvzjnivo","social","ADJ","Profession"
"2291","doc297","must watch tv features updated urban commentary hiphop sports social media vlogging subscribe videos httpstcokkvzjnivo","media","NOUN","Profession"
"2303","doc299","account prescott indivisible","account","NOUN","Profession"
"2350","doc305","aquaculturist marine biologist baritonist lover southern gospel musicgaither vocal band","marine","NUM","Profession"
"2382","doc308","chris daw qc barrister wealthy go trouble<U+393C><U+3E34>","barrister","NOUN","Profession"
"2388","doc308","guardian writer speaker legal issues social mobility advocate","writer","NOUN","Profession"
"2390","doc308","guardian writer speaker legal issues social mobility advocate","legal","ADJ","Profession"
"2392","doc308","guardian writer speaker legal issues social mobility advocate","social","ADJ","Profession"
"2394","doc308","guardian writer speaker legal issues social mobility advocate","advocate","NOUN","Profession"
"2405","doc310","new awardnominated methodology look inside book httpstconuukopecib project controls evm consultants also conducting training courses","project","NOUN","Profession"
"2411","doc310","new awardnominated methodology look inside book httpstconuukopecib project controls evm consultants also conducting training courses","training","VERB","Profession"
"2437","doc313","tamusa co bts army ufc thats pretty much ufd","army","NOUN","Profession"
"2455","doc316","miami university","university","NOUN","Profession"
"2457","doc317","happily married hs uufef seansullivans mom five beautiful nerds angeluf writer comedian wannabe astrophysicist uaufefmusic medicine soul","married","VERB","Personality"
"2466","doc317","happily married hs uufef seansullivans mom five beautiful nerds angeluf writer comedian wannabe astrophysicist uaufefmusic medicine soul","writer","NOUN","Profession"
"2476","doc318","iconic screens quotes film reviews currently watching thesopranos spoilers please theitcrowd fatherted","film","NOUN","Profession"
"2506","doc320","texas business centers offers short long term executive virtual offices denton texas work anytime anywhere ufd admin marketing services available","business","NOUN","Profession"
"2512","doc320","texas business centers offers short long term executive virtual offices denton texas work anytime anywhere ufd admin marketing services available","executive","ADJ","Profession"
"2522","doc320","texas business centers offers short long term executive virtual offices denton texas work anytime anywhere ufd admin marketing services available","marketing","NOUN","Profession"
"2562","doc325","god led will lead good places uffuffufaufaufa","good","ADJ","Personality"
"2565","doc326","proud american liberal democrat believer things possible perhaps impossible musician reader traveler","proud","ADJ","Personality"
