,user_id,Description,NER,GPE,LOC,ORG,NORP,WORK_OF_ART,Other
33,851797004,1. Love God 2. Love Others 3. Love Bacon (mmmm bacon),"[('1', 'CARDINAL'), ('2', 'CARDINAL'), ('Love', 'WORK_OF_ART'), ('3', 'CARDINAL')]",,,,,Love,"{('3', 'CARDINAL'), ('2', 'CARDINAL'), ('1', 'CARDINAL')}"
34,571362498,University of Kentucky,"('University of Kentucky', 'ORG')",,,University of Kentucky,,,
35,1076156449443717120,"Nimo by Naeema Sky, J.D. (eBook Memoir). https://t.co/9HvRhC8lwx https://t.co/hZ3db17OQp #nimomemoir","[('Naeema Sky', 'PERSON'), ('J.D.', 'PERSON'), ('eBook Memoir', 'ORG')]",,,eBook Memoir,,,"{('J.D.', 'PERSON'), ('Naeema Sky', 'PERSON')}"
36,1091108260365647872,am single looking for serious honest caring loving man who I can spend the rest of my life with my text number is 5393023661 my email is shellyfunmilayo@gmail.c,"('5393023661', 'DATE')",,,,,,"('5393023661', 'DATE')"
37,1077666956545798149,Bus Kid <U+27A1><U+FE0F> Bus Captain | Preparing for the Ministry at Commonwealth Baptist College | Jordan Leeann <U+2764><U+FE0F>,"[('Bus Kid', 'PERSON'), ('Bus Captain', 'GPE'), ('Preparing for the Ministry at Commonwealth Baptist College', 'ORG'), ('Jordan Leeann', 'PERSON')]",Bus Captain,,Preparing for the Ministry at Commonwealth Baptist College,,,"{('Jordan Leeann', 'PERSON'), ('Bus Kid', 'PERSON')}"
38,23141042,"Tony Pace is a versatile performing and recording artist. Comedy, inspirational music, children music, instrumentals and live performances.","[('Tony Pace', 'PERSON'), ('Comedy', 'GPE')]",Comedy,,,,,"('Tony Pace', 'PERSON')"
39,803147717220429824,"Radio host for WVYC<U+0001F4FB> and Promotions Director, Student at YCP <U+0001F49A>, Photographer/Videographer <U+0001F4F8><U+0001F3A5>","[('WVYC', 'GPE'), ('Promotions', 'PERSON'), ('Student', 'ORG'), ('YCP', 'ORG'), ('Photographer/Videographer', 'ORG')]",WVYC,,"{'YCP', 'Photographer/Videographer', 'Student'}",,,"('Promotions', 'PERSON')"
40,108343857,"The official newspaper serving Liberty University and the Lynchburg area by accurately reporting news, events and sports. Have a news tip? Tweet us!","[('Liberty University', 'ORG'), ('Lynchburg', 'GPE')]",Lynchburg,,Liberty University,,,
41,1880846840,https://t.co/rEh28eJ6b5,,,,,,,
42,134881176,"International, best selling author, speaker & co-creator of Access Consciousness inspiring the world from total allowance, caring, humor & a deep inner knowing.",,,,,,,
43,1166655457,"#animalrescue #hcwslv #zookeeper
Instagram follow: Squirrelwhirl 
 Facebook roos2you@gmail.com","[('#animalrescue', 'MONEY'), ('#', 'CARDINAL'), ('#', 'ORG'), ('Instagram', 'ORG'), ('Squirrelwhirl \r\n ', 'ORG')]",,,"{'Instagram', 'Squirrelwhirl \r\n ', '#'}",,,"{('#animalrescue', 'MONEY'), ('#', 'CARDINAL')}"
44,1036158369843871744,Med folket för fosterlandet! Plikten framför allt. Rätt och sanning. För Sveriges väl.,"('Med', 'ORG')",,,Med,,,
45,809197472769675265,i invented the following hashtag,,,,,,,
46,963702582,ygg,,,,,,,
47,1067880091626209281,|An account tribute to a man who gave up his life for his country|American|Christian<U+0001F64F>|Science|<U+0001F1FA><U+0001F1F8> God Bless America,"('country|American|Christian', 'NORP')",,,,country|American|Christian,,
48,54646509,"Employee-Owned IT firm specializing in Cyber Security and IT Support services, solutions, and training.","[('Employee-Owned', 'ORG'), ('Cyber Security', 'WORK_OF_ART')]",,,Employee-Owned,,Cyber Security,
49,2363510725,no,,,,,,,
50,1089872998704861184,"<U+0001F54A><U+0627><U+0646><U+062A> <U+062D><U+0631><U+060C> <U+0641><U+062D><U+0631><U+0631> <U+0639><U+0642><U+0644><U+0643><U+0001F54A>
<U+0644><U+0633><U+062A> <U+0628><U+062D><U+0627><U+062C><U+0629> <U+0644><U+0644><U+062A><U+0647><U+062F><U+064A><U+062F> <U+0628><U+062C><U+0647><U+0646><U+0645> <U+0644><U+0627><U+0643><U+0648><U+0646> <U+0639><U+0642><U+0644><U+0627><U+0646><U+064A><U+0629>(<U+0639><U+0642><U+0644><U+0627><U+0646><U+064A><U+0629> <U+0648> <U+0645><U+062C><U+0627><U+0632><U+064A><U+0629><U+060C> <U+0627><U+0631><U+0627><U+0642><U+0628> <U+0628><U+0635><U+0645><U+062A>)
<U+0644><U+0627> <U+062A><U+0634><U+063A><U+0644> <U+0646><U+063A><U+0633><U+0643> <U+0628><U+062A><U+0639><U+0631><U+0641><U+064A> <U+0628><U+0642><U+062F><U+0631> <U+0645><U+0627> <U+062A><U+0634><U+063A><U+0644><U+0647> <U+0628><U+0641><U+0647><U+0645> <U+0645><U+0642><U+0627><U+0635><U+062F><U+064A><U+2712>
 <U+062B><U+0642><U+062A><U+064A> <U+0628><U+0627><U+0644><U+0644><U+0647> <U+0647><U+064A> <U+0643><U+0644> <U+0634><U+064A><U+0621>","[('U+0639><U+0642><U+0644><U+0627><U+0646><U+064A><U+0629>(<U+0639><U+0642><U+0644><U+0627><U+0646><U+064A><U+0629', 'GPE'), ('U+0628><U+0635><U+0645><U+062A', 'ORG')]",U+0639><U+0642><U+0644><U+0627><U+0646><U+064A><U+0629>(<U+0639><U+0642><U+0644><U+0627><U+0646><U+064A><U+0629,,U+0628><U+0635><U+0645><U+062A,,,
51,1088535696778776576,What a time to be alive! Im a proud American woman who loves her country and everything that makes it great. LETS KEEP IT GREAT!,"('American', 'NORP')",,,,American,,
52,2783944550,government watch dog.  worked for social welfare,,,,,,,
53,150904297,"Latest in music, entertainment, and pop culture <U+26A1><U+FE0F>visit our website at https://t.co/yHN70Uu3VX
 <U+26A1><U+FE0F>",,,,,,,
54,1086435052035162113,I'm an independent man that love life and God..,,,,,,,
55,1087446179426824195,Ask me,,,,,,,
56,1090513280337096705,"Cubs Fan, Bears Fan, Cyclist, <U+2744><U+FE0F><U+2744><U+FE0F><U+2744><U+FE0F> Twitch: @whiteboyrick13","('Cubs Fan', 'PERSON')",,,,,,"('Cubs Fan', 'PERSON')"
57,3132237246,ranked 4th in the world for thumb wrestling,"('4th', 'ORDINAL')",,,,,,"('4th', 'ORDINAL')"
58,18811659,"political, sports,entertainment",,,,,,,
59,2967011601,Photography inquiries: fotoinquiry@gmail.com,,,,,,,
60,1027479955221958658,"No single politician can win the change we need in West Virginia. Only a movement can. Im Stephen Smith for Governor. Im not doing it alone, please join us.","[('West Virginia', 'GPE'), ('Stephen Smith', 'PERSON')]",West Virginia,,,,,"('Stephen Smith', 'PERSON')"
61,259097925,Everything is relative. It just depends on which side you butter your bread.,,,,,,,
62,1089870226844536833,This an awarding platform that awards upcoming talented artist base on there yearly performance... Annually!!!,"('yearly', 'DATE')",,,,,,"('yearly', 'DATE')"
63,2994484269,"Proudly serving service-oriented businesses, contractors, distributors and manufacturers since 1988. We are your technology partners for success.","('1988', 'DATE')",,,,,,"('1988', 'DATE')"
64,1069458795926048768,afghanistan,,,,,,,
65,1040263084697370624,Honest photos and personal interviews with the hardworking men and women who are building Michigan.  Created by @MILaborers.,"('Michigan', 'GPE')",Michigan,,,,,
66,885707942288179200,"Actor, Musician, Writer, Grad Student, Veteran, & Vegetarian.  https://t.co/MwkSGK5mwh https://t.co/3GjaxLjhgL","[('Musician', 'NORP'), ('Writer, Grad Student', 'ORG'), ('Veteran, & Vegetarian', 'ORG'), ('https://t.co/MwkSGK5mwh https://t.co/3GjaxLjhgL', 'PRODUCT')]",,,"{'Writer, Grad Student', 'Veteran, & Vegetarian'}",Musician,,"('https://t.co/MwkSGK5mwh https://t.co/3GjaxLjhgL', 'PRODUCT')"
67,1083590320821100544,Barca fan politics is in my DNA chisa mbama,"('Barca', 'PERSON')",,,,,,"('Barca', 'PERSON')"
68,1088478165805289472,"Mom to 3 Awesome Boys, Educator, Travel Agent & Lover of Adventure","[('3', 'CARDINAL'), ('Educator, Travel Agent & Lover of Adventure', 'ORG')]",,,"Educator, Travel Agent & Lover of Adventure",,,"('3', 'CARDINAL')"
69,707928708452098050,"If you have Twitts wiz me follow me. I love twitts  the moments! u want to make friend?,,,   
so follow me","[('Twitts', 'GPE'), ('  \r\n', 'NORP')]",Twitts,,,"  
",,
70,425861349,F<U+03C5>t<U+03C5>re <U+03B7><U+03C5>rse <U+0001F469><U+0001F3FE><U+200D><U+2695><U+FE0F><U+0001F3AF>,,,,,,,
71,24271513,"proud mummy, dancer, poet",,,,,,,
72,240240468,"l have always been fighting my destiny.Trying to avoid becoming my father.But we all have certain genes that no matter how much we want to change,dominate us",,,,,,,
73,1090944982876188673,BSW STUDENTS,"('BSW', 'ORG')",,,BSW,,,
74,1086471207472500736,Christian. Mom. Daughter. Sister. Conservative.,"[('Christian', 'NORP'), ('Daughter', 'PERSON')]",,,,Christian,,"('Daughter', 'PERSON')"
75,35918101,Gig 'em forever,"('Gig', 'ORG')",,,Gig,,,
76,2832552389,"A Nigerian but with a universal mentality in terms of touching lives, and am a Male","('Nigerian', 'NORP')",,,,Nigerian,,
77,94252404,"Looking for adventure in whatever comes my way! ;-) Oh, and let's make this PLANET great again! Stop polluting, destroying  rain forests, killing its animals.","[('PLANET', 'ORG'), (' ', 'NORP')]",,,PLANET, ,,
78,1032008958528155649,"My account was suspended for the fourth time, but here I am...still part of the #Resistance, still hunting Berniebros & Deplorafcks. U will never shut me up!<U+270A>","[('fourth', 'ORDINAL'), ('Resistance', 'MONEY'), ('Berniebros & Deplorafcks', 'ORG')]",,,Berniebros & Deplorafcks,,,"{('fourth', 'ORDINAL'), ('Resistance', 'MONEY')}"
79,2985129946,Just here for the discourse. UoM-VU,"('UoM', 'ORG')",,,UoM,,,
80,1090933664479936513,<U+0001F60D>,,,,,,,
81,2850118815,Retweets & Likes <U+2260> endorsements,"('Retweets & Likes', 'ORG')",,,Retweets & Likes,,,
82,1090910412441378816,"Respect, Truth, Honesty. These are guidelines/rules that give peace in Chaos. Wishful thinking... Guess you got to break a few eggs to make a omelette.","('Chaos', 'GPE')",Chaos,,,,,
83,980068865458786304,I'm a Mother and a Patriot....I trust Q and POTUS (I am not looking for an intimate relationship on Twitter!! I am not interested),"('Patriot', 'PERSON')",,,,,,"('Patriot', 'PERSON')"
84,1089863600246849536,optimistic,,,,,,,
85,43460128,Retired stay at home father of triplets.,,,,,,,
86,981824804855611392,"SLIMSHADDY ±#TBE |
THE SERIAL HUNTER OF SUCCESS |
Beat Box lover | @manutd
@NeymarJrSite | @neymarjr | @jksheva7 |https://t.co/ZLHkUoGg0X","[('SLIMSHADDY', 'GPE'), ('THE SERIAL HUNTER OF SUCCESS', 'ORG'), ('Beat Box', 'PERSON'), ('@manutd', 'GPE')]","{'SLIMSHADDY', '@manutd'}",,THE SERIAL HUNTER OF SUCCESS,,,"('Beat Box', 'PERSON')"
87,1075534001635393536,Dedicated to electing Kamala Harris Americas 46th President. *Not affiliated with Kamala Harris* #NeverBernie #StillWithHer #Kamala2020,"[('Kamala Harris', 'PERSON'), ('46th', 'ORDINAL'), ('Kamala Harris', 'PERSON'), ('#NeverBernie #', 'MONEY'), ('Kamala2020', 'MONEY')]",,,,,,"{('Kamala Harris', 'PERSON'), ('46th', 'ORDINAL'), ('Kamala2020', 'MONEY'), ('#NeverBernie #', 'MONEY')}"
88,1130726322,"Integrity is everything
I choose to be a person of value",,,,,,,
89,506975910,"I'm a bum, but I'm trying to work on it.",,,,,,,
90,1090629578668810240,the baddest,,,,,,,
91,979979094371713025,I marketing Manager,,,,,,,
92,1090555731114225664,Just letting human beings be all that they can be.,,,,,,,
93,218536484,CWU '20 <U+2764><U+FE0F><U+0001F5A4>,"[('CWU', 'ORG'), ('20', 'CARDINAL')]",,,CWU,,,"('20', 'CARDINAL')"
94,1080482359655358464,"Whistleblower against unfair practice in Corporates, Government & Governemnt's Organisations<U+0001F4E3>

Mail: korporatewolf@gmail.com","(""Corporates, Government & Governemnt's"", 'ORG')",,,"Corporates, Government & Governemnt's",,,
95,1090605780351381505,beche achi,,,,,,,
96,1961990113,Nuggets. Bison.,"[('Nuggets', 'ORG'), ('Bison', 'ORG')]",,,"{'Nuggets', 'Bison'}",,,
97,363023965,"Studied Marketing & Finance from LSE. Passionate for Economics, international relations, political science and history.","[('Studied Marketing & Finance', 'ORG'), ('LSE', 'ORG')]",,,"{'Studied Marketing & Finance', 'LSE'}",,,
98,1078509551123644417,Government | Business | Operations,"('Business | Operations', 'ORG')",,,Business | Operations,,,
99,1074431746131804161,#Nursing <U+0001F931> #Baptist #Csc #Miami,"[('U+0001F931', 'GPE'), ('#Baptist #', 'MONEY'), ('Miami', 'MONEY')]",U+0001F931,,,,,"{('Miami', 'MONEY'), ('#Baptist #', 'MONEY')}"
100,1090821423180980226,dont follow me back follow  @thankutana,"('@thankutana', 'ORG')",,,@thankutana,,,
101,567839334,<U+0001F4A9><U+0001F47D>,,,,,,,
102,1066834426963755008,"i love pop culture, lots of movie, i love armie and timothee and call me by your name, charmed was the greatest happiness of my teenagehood, i love music, books",,,,,,,
103,962124188466253824,Meh.,"('Meh', 'PERSON')",,,,,,"('Meh', 'PERSON')"
104,59910448,"Love animals more than most Humans. Animal Advocate.
<U+0001F50A> #BUILDTHATWALL<U+0001F528><U+0001F528> #MAGA #AMERICANSFIRST <U+0001F1F1><U+0001F1F7> <U+0001F4AF> #NOTOILLEGALIMMIGRANTS","[('Humans', 'NORP'), ('Animal Advocate', 'PERSON'), ('U+0001F50A', 'ORG'), ('BUILDTHATWALL', 'MONEY'), ('MAGA', 'GPE'), ('AMERICANSFIRST', 'GPE'), ('U+0001F4AF', 'PERSON'), ('#NOTOILLEGALIMMIGRANTS', 'MONEY')]","{'AMERICANSFIRST', 'MAGA'}",,U+0001F50A,Humans,,"{('BUILDTHATWALL', 'MONEY'), ('U+0001F4AF', 'PERSON'), ('Animal Advocate', 'PERSON'), ('#NOTOILLEGALIMMIGRANTS', 'MONEY')}"
105,2923812143,"IUPUI '19, Pre-Law, American History","[('19', 'DATE'), ('Pre-Law', 'LAW'), ('American History', 'ORG')]",,,American History,,,"{('19', 'DATE'), ('Pre-Law', 'LAW')}"
106,51860077,"Press Secretary @RepSlotkin. Proud @NARAL, @HFA & @Wellesley alumna. Michigander. Tweets/views my own.","('& @Wellesley', 'ORG')",,,& @Wellesley,,,
107,838605667049082880,-Born & Bred in #Afghanistan. Currently live and study #PoliticalScience & #International Relations in #Washington #DC.,"[('-Born & Bred', 'ORG'), ('Afghanistan', 'GPE'), ('PoliticalScience &', 'ORG'), ('International Relations', 'ORG'), ('Washington', 'GPE'), ('DC', 'GPE')]","{'Afghanistan', 'DC', 'Washington'}",,"{'-Born & Bred', 'PoliticalScience &', 'International Relations'}",,,
108,601337165,cya #33 | cvhs track,"('33', 'MONEY')",,,,,,"('33', 'MONEY')"
109,1090770706575642624,"Conservative, Sports, Music, Apple, iPhone, Technology, gadgets, Muscle Cars & New Balance!","[('Music', 'GPE'), ('Apple', 'ORG'), ('iPhone, Technology', 'ORG'), ('Muscle Cars & New Balance', 'ORG')]",Music,,"{'Apple', 'Muscle Cars & New Balance', 'iPhone, Technology'}",,,
110,4223535699,Bean,,,,,,,
111,1587724454,"loves Jesus, loves dogs n cats, loves pizza, hates child and animal abusers, loves mysteries, retired educator from IL #Trump 2020, proud grandma","[('Jesus', 'PERSON'), ('IL', 'PERSON'), ('Trump 2020', 'EVENT')]",,,,,,"{('Trump 2020', 'EVENT'), ('Jesus', 'PERSON'), ('IL', 'PERSON')}"
112,333126490,"""Two roads diverged in a wood, and II took the one less traveled by, And that has made all the difference.""-Robert Frost","[('Two', 'CARDINAL'), ('one', 'CARDINAL'), ('Robert Frost', 'PERSON')]",,,,,,"{('Robert Frost', 'PERSON'), ('one', 'CARDINAL'), ('Two', 'CARDINAL')}"
113,1047477716516257793,Building a strong community of love and growth. Lets help each other reach our highest potential everyday! We are Dawn and Malik Ali <U+0001F49C>,"[('Dawn', 'PERSON'), ('Malik Ali', 'PERSON')]",,,,,,"{('Malik Ali', 'PERSON'), ('Dawn', 'PERSON')}"
114,2999033695,"ALWAYS a VICTOR
In ALL things VICTORIOUS
INVICTUS
GOD ALWAYS CAUSES us to TRIUMPH IN CHRIST
GOD ALWAYS LEADS us in TRIUMPHAN PROCESSION IN CHRIST
VENI VIDI VICI","[('VICTOR', 'ORG'), ('VICTORIOUS', 'ORG'), ('INVICTUS', 'ORG'), ('GOD', 'PERSON'), ('CHRIST', 'ORG'), ('CHRIST', 'FAC')]",,,"{'VICTOR', 'VICTORIOUS', 'CHRIST', 'INVICTUS'}",,,"{('CHRIST', 'FAC'), ('GOD', 'PERSON')}"
115,1090797900953776128,Associate Producer for @10newsWTSP | WVU Grad | Maryland <U+27A1><U+FE0F> Florida | #LetsGoCaps,"[('Producer', 'PERSON'), ('@10newsWTSP', 'CARDINAL'), ('WVU Grad |', 'PERSON'), ('Maryland', 'GPE'), ('Florida', 'GPE'), ('LetsGoCaps', 'MONEY')]","{'Florida', 'Maryland'}",,,,,"{('WVU Grad |', 'PERSON'), ('@10newsWTSP', 'CARDINAL'), ('Producer', 'PERSON'), ('LetsGoCaps', 'MONEY')}"
116,56649009,"PRO-LIFE from womb 2tomb & natural death, R.C.<U+0001F54A>M.A., Parkinson's, Wegener's, colon cancer, photos, art, swimming, hockey, 4Grands/5th in womb, <U+2764><U+FE0F>USA<U+0001F1FA><U+0001F1F8>!Peace!","[('PRO-LIFE', 'ORG'), ('2tomb &', 'ORG'), ('R.C.<U+0001F54A', 'GPE'), ('M.A.', 'GPE'), ('Wegener', 'ORG'), ('4Grands/5th', 'CARDINAL'), ('USA', 'GPE')]","{'R.C.<U+0001F54A', 'USA', 'M.A.'}",,"{'2tomb &', 'PRO-LIFE', 'Wegener'}",,,"('4Grands/5th', 'CARDINAL')"
117,1483901430,The #1 Mindset System in America for Wrestlers and MMA Fighters. <U+0001F9E0> Help serious athletes of all levels succeed on/off the mat. <U+0001F399> Top 10 Podcast,"[('#1 Mindset System', 'MONEY'), ('America', 'GPE'), ('Wrestlers', 'ORG'), ('MMA Fighters', 'PERSON'), ('U+0001F9E0', 'NORP'), ('U+0001F399', 'ORG'), ('10', 'CARDINAL')]",America,,"{'Wrestlers', 'U+0001F399'}",U+0001F9E0,,"{('10', 'CARDINAL'), ('#1 Mindset System', 'MONEY'), ('MMA Fighters', 'PERSON')}"
118,1049323487188451336,I'm a single lady with a kid!!!!,,,,,,,
119,834423167645003776,"An independent mind.

#RiseUpVirginiaAndStandForLife","('\r\n\r\n', 'PERSON')",,,,,,"('\r\n\r\n', 'PERSON')"
120,974422882678865924,"I'm a simple lady.. I hate liars.. I've been hurt a lot by people,Hoping to meet good people.. kindly follow back. Add me on hangouts  Rubhuffy2018@gmail.com",,,,,,,
121,370178326,"Medico de profesion, detective de ciencias cardiologicas por pasión, musico por naturaleza, amante de los gatos, come libros y VENEZOLANA de nacimiento!","('Medico de profesion', 'PERSON')",,,,,,"('Medico de profesion', 'PERSON')"
122,67326212,Natural Born American from Founding & Pioneering stock trying to make a little sense from it all. Tweet's & RT's may not be an endorsement.,"[('American', 'NORP'), ('Founding & Pioneering', 'ORG'), (""Tweet's"", 'ORG'), (""& RT's"", 'ORG')]",,,"{'Founding & Pioneering', ""& RT's"", ""Tweet's""}",American,,
123,1089709664235851776,The time is NOW to rise up and say NO MORE! We are a group of Conservative Women that are fearless and are fed up with the evil radical left! #Prolife #MAGA,"[('Conservative Women', 'ORG'), ('MAGA', 'GPE')]",MAGA,,Conservative Women,,,
124,912456218274299904,I'm a easy going man and my son is my World,,,,,,,
125,857373674,PhD Candidate @Drexel University/ RD /IBCLC/ Lecturer@KAU <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B> <U+200B><U+200B>  <U+200B> <U+0627><U+062C><U+0639><U+0644> <U+0645><U+0646> <U+064A><U+0631><U+0627><U+0643> <U+064A><U+062F><U+0639><U+0648> <U+0644><U+0645><U+0646> <U+0627><U+0646><U+062C><U+0628><U+0643><U+200B> <U+200B> <U+200B> <U+200B>,"[('University/ RD', 'PERSON'), ('Lecturer@KAU', 'GPE'), (' ', 'NORP')]",Lecturer@KAU,,, ,,"('University/ RD', 'PERSON')"
126,290629925,STLOxford,,,,,,,
127,14772646,Miembro fundador de ESDATA #SOSVenezuela // Repúblico // Automotive Industry,"[('SOSVenezuela', 'FAC'), ('Repúblico', 'GPE')]",Repúblico,,,,,"('SOSVenezuela', 'FAC')"
128,465130869,"TRUMP IS YOUR @POTUS 
Proud Retired Navy Wife & Retired Army Mom.  
<U+0001F1FA><U+0001F1F8><U+0001F495>
#MAGA <U+0001F1FA><U+0001F1F8><U+0001F495>#WeThePeople <U+2764>","[('Proud Retired', 'PERSON'), ('MAGA', 'GPE'), ('U+0001F1FA><U+0001F1F8><U+0001F495>#WeThePeople', 'GPE')]","{'MAGA', 'U+0001F1FA><U+0001F1F8><U+0001F495>#WeThePeople'}",,,,,"('Proud Retired', 'PERSON')"
129,53449737,Sports news and current events are my thing.I'm here for information and insight.Stl Cards-Blues-Mizzou-Billikens-NE Patriots and fine dinning,,,,,,,
