,user_id,Description,NER,GPE,LOC,ORG,NORP,WORK_OF_ART,Other
40,1086262856801226752,Repatriation of the Mind is a Must,,,,,,,
41,16356359,"Ocean-Loving Beach Cleaner<U+0001F30A> Plastic Pollution Awareness<U+267B><U+FE0F> #ImpeachTrump  <U+274E> #MuellerInvestigation, Rise Up People of Color<U+0001F44A> #KamalaHarris for Pres 2020<U+2665><U+FE0F>","[('ImpeachTrump', 'MONEY'), ('MuellerInvestigation', 'MONEY'), ('People of Color', 'ORG'), ('KamalaHarris for Pres', 'ORG')]",,,"{'People of Color', 'KamalaHarris for Pres'}",,,"{('MuellerInvestigation', 'MONEY'), ('ImpeachTrump', 'MONEY')}"
42,438068509,<U+0001F1EE><U+0001F1F9> #mambamentality                                       -committed to progress-,"('                                      ', 'GPE')",                                      ,,,,,
43,1004283882722775040,Born in Ilorin from Mr&Mrs Danjuma,"[('Ilorin', 'GPE'), ('Danjuma', 'NORP')]",Ilorin,,,Danjuma,,
44,3317006816,AMERICAN,,,,,,,
45,1089101405984641024,No,,,,,,,
46,1086248934790623232,I love been myself,,,,,,,
47,767185798340812800,Im a Solid Ateneo Fan <U+0001F499><U+0001F499><U+0001F499> OBF,"('Ateneo Fan', 'PERSON')",,,,,,"('Ateneo Fan', 'PERSON')"
48,1643520132,I DONT KNOW IF THE SUN WILL RISE TOMORROW...BUT I AM SURE MY EYES WOULD NEVER LIE TO ME,"[('SUN', 'ORG'), ('TOMORROW', 'DATE'), ('LIE', 'ORG')]",,,"{'SUN', 'LIE'}",,,"('TOMORROW', 'DATE')"
49,1072191311376211969,idk newly in the army and idk what to do w myself ALSO occasional video content,,,,,,,
50,1002921187377176577,"Husband, father of four, Atheist, I believe individuals are capable of incredible miracles, but as a species... things arent looking too good","[('Husband', 'GPE'), ('four', 'CARDINAL'), ('Atheist', 'NORP')]",Husband,,,Atheist,,"('four', 'CARDINAL')"
51,534580329,"Founder & CEO, Educare Student Services @educaremi1; Whats Up Media Network @choualakhbar; Educare4all @educare4all","[('Founder &', 'ORG'), ('Educare Student Services @educaremi1', 'ORG'), ('Up Media Network @choualakhbar', 'ORG')]",,,"{'Up Media Network @choualakhbar', 'Educare Student Services @educaremi1', 'Founder &'}",,,
52,260472837,"Irish Rugby, LFC, The GCC and Banter & Rumpus","[('Irish', 'NORP'), ('LFC', 'ORG'), ('The GCC', 'ORG')]",,,"{'The GCC', 'LFC'}",Irish,,
53,923540868761604096,"|Pakistani<U+0001F1F5><U+0001F1F0>| |Cricket lover<U+2764>| |Libra<U+0001F31F>|
|Insafiyan<U+0001F60E>| |Student of Banking<U+0001F607>| |Muslim<U+2764>| |Imran Khan Ka Fan <U+0001F60D>| 
Follow Kro ga<U+0001F448> Follow back don ga<U+0001F449>","[('U+0001F31F>|', 'PERSON'), ('|Insafiyan', 'PERSON'), ('Khan Ka Fan', 'PERSON'), ('Follow Kro', 'PERSON'), ('U+0001F448', 'GPE'), ('Follow', 'GPE')]","{'U+0001F448', 'Follow'}",,,,,"{('Khan Ka Fan', 'PERSON'), ('U+0001F31F>|', 'PERSON'), ('|Insafiyan', 'PERSON'), ('Follow Kro', 'PERSON')}"
54,955777342399533056,"Am Who, I Am. Not The BEST Just Trying Too Be 1.","('1', 'CARDINAL')",,,,,,"('1', 'CARDINAL')"
55,203418350,Try me!,,,,,,,
56,1090485893067100161,Nathing,,,,,,,
57,2504034709,Free speech doesnt pay the bills. Tweets dont represent employer<U+262E><U+FE0F>,"('don\x92t', 'PERSON')",,,,,,"('don\x92t', 'PERSON')"
58,2809645833,Perhaps to be too practical is madness. To surrender dreams- this may be madness. To seek treasure where there is only trash. Too much sanity may be madness-,"('dreams-', 'DATE')",,,,,,"('dreams-', 'DATE')"
59,1090508773901381632,"Always respect yourself.




Blue is the color, Chelsea","[('Blue', 'ORG'), ('Chelsea', 'PERSON')]",,,Blue,,,"('Chelsea', 'PERSON')"
60,852587875157803008,"The woman your mother and/or society warned you about. Former lawyer, now #confused #(studying) judge, future #corpse. <U+0001F607><U+0001F596>","('#confused', 'MONEY')",,,,,,"('#confused', 'MONEY')"
61,815572400481980416,"Mother of 5, Nana of 7, Christian, loves America and the freedoms we have supports our military and our men/women in blue I support our President Donald J Trump","[('5', 'CARDINAL'), ('7', 'DATE'), ('Christian', 'NORP'), ('America', 'GPE'), ('Donald J Trump', 'PERSON')]",America,,,Christian,,"{('7', 'DATE'), ('5', 'CARDINAL'), ('Donald J Trump', 'PERSON')}"
62,292898618,"Blogger, Pro writer and network marketer.  Make me a part of your success story","('Pro', 'ORG')",,,Pro,,,
63,3736393881,"Certified Accountant, Accounts Consultant and Window blinds guru.
Very Dependable.","[('Certified Accountant', 'PERSON'), ('Accounts Consultant', 'ORG')]",,,Accounts Consultant,,,"('Certified Accountant', 'PERSON')"
64,359000715,I will become a person of influence in this world someday. University of Virginia FMOIG: Valeeee.Matteo,"[('University of Virginia FMOIG', 'ORG'), ('Valeeee', 'GPE')]",Valeeee,,University of Virginia FMOIG,,,
65,346383849,Ask me now,,,,,,,
66,1075726338055639041,"you should youtube sign language gorilla. they do a big ass silverback, who says his mom was killed, like halfbaked or dumb and dumber.",,,,,,,
67,908448544448667648,"Tiny #youtubers gone rogue. stephandpauldostuff on lnstagram too. Stay tuned for videos twice a week*!!

*or so.","('\r\n\r\n', 'PERSON')",,,,,,"('\r\n\r\n', 'PERSON')"
68,1554867992,#Islam #aMuslim #aljanaImmigrants #Barça family #IG @iamadekolla #Aquarius,"[('#aMuslim #', 'MONEY'), ('Barça', 'PERSON'), ('IG @iamadekolla', 'ORG'), ('Aquarius', 'PERSON')]",,,IG @iamadekolla,,,"{('#aMuslim #', 'MONEY'), ('Barça', 'PERSON'), ('Aquarius', 'PERSON')}"
69,1084515283467939840,<U+0001F48E> Adult entertainment for elegant people. We make your fantasy come true integrating it into your reality. Partying like there is no tomorrow since now.<U+2666><U+FE0F><U+2666><U+FE0F>,"('Adult', 'PERSON')",,,,,,"('Adult', 'PERSON')"
70,954785619485642754,"Participate in Social,Economic and Political Environment of the Country.",,,,,,,
71,500069947,"Certified Monster & Zombie killer,  Certified Conservative (Save your Ammo!), Pessimistic Optimist, and Christian Agnostic.   Genesis 1:16-22","[('Certified Monster & Zombie', 'ORG'), (' Certified Conservative', 'ORG'), ('Ammo', 'PERSON'), ('Pessimistic Optimist', 'NORP'), ('Christian Agnostic', 'ORG'), ('1:16-22', 'CARDINAL')]",,,"{'Certified Monster & Zombie', 'Christian Agnostic', ' Certified Conservative'}",Pessimistic Optimist,,"{('Ammo', 'PERSON'), ('1:16-22', 'CARDINAL')}"
72,814982780169883648,<U+0001F51E> Director | Cinematographer | Producer. <U+0001F4A5>  2019 @AVN & @XBIZ Nominee for Best Cinematography.<U+0001F3A5> Adult Content Production Company. New productions coming soon! <U+0001F3AC>,"[('Cinematographer', 'PERSON'), (' 2019 @AVN', 'ORG'), ('& @XBIZ', 'ORG'), ('Adult Content Production Company', 'ORG'), ('U+0001F3AC', 'ORG')]",,,"{'U+0001F3AC', '& @XBIZ', ' 2019 @AVN', 'Adult Content Production Company'}",,,"('Cinematographer', 'PERSON')"
73,1081604257567203329,"Research Organisation from India focuses on the countries of Eurasia
https://t.co/hntWPbbGOu","[('Research Organisation', 'ORG'), ('India', 'GPE'), ('Eurasia', 'GPE')]","{'Eurasia', 'India'}",,Research Organisation,,,
74,1108682635,The goal is to make people laugh with my awkward moments and dating life.,,,,,,,
75,602985221,I'm simply an odd creature of nature,,,,,,,
76,3905144011,sebas bahena,,,,,,,
77,1090861918074650624,I have 2 plus year professional experience in android. Build 40 plus apps. Expert in UI and performance.,"[('2 plus year', 'DATE'), ('Build 40', 'ORG'), ('Expert', 'PERSON')]",,,Build 40,,,"{('Expert', 'PERSON'), ('2 plus year', 'DATE')}"
78,892330175660216320,A high functioning sociopath <U+0001F575><U+FE0F><U+200D><U+2642><U+FE0F>,"('U+0001F575><U+FE0F><U+200D><U+2642><U+FE0F', 'ORG')",,,U+0001F575><U+FE0F><U+200D><U+2642><U+FE0F,,,
79,1090489438432567296,DIY self evolve Mind,"('DIY', 'ORG')",,,DIY,,,
80,30422648,DMB | THATH | Poker | Guitar | Travel | Chess | Philosophy | Science | Camping | #VanLife | BizStrategist |   The future is no place to place your better days.,"[('Poker', 'ORG'), ('Guitar | Travel', 'ORG'), ('VanLife', 'MONEY'), ('BizStrategist', 'ORG'), ('  ', 'PRODUCT')]",,,"{'Guitar | Travel', 'Poker', 'BizStrategist'}",,,"{('  ', 'PRODUCT'), ('VanLife', 'MONEY')}"
81,940951968222187520,<U+0001F9DA><U+0001F3FB><U+200D><U+2642><U+FE0F><U+0001F3AD> <U+264B><U+FE0F> i really am a whole dumbass,,,,,,,
82,630024361,Kyle Schwarber enthusiast,,,,,,,
83,179378796,Dino,,,,,,,
84,1090691399073361920,Leadership,,,,,,,
85,1650876470,"FOR THE SAKE OF UGANDA, I WILL NOT KEEP SILENT.",,,,,,,
86,1090081131196604416,"For what its worth , its only my opinion anyway , take it or leave it .
I reply or retweet , I don't need followers.",,,,,,,
87,1073111103838793728,I'm a loner but strong in any combat,,,,,,,
88,916855699686146049,Jasper #43,"[('Jasper', 'GPE'), ('43', 'MONEY')]",Jasper,,,,,"('43', 'MONEY')"
89,2973817349,rnhs | c/o 19 | varsity wide receiver / safety #7 | 60 | 170 | all region !,"[('19\x92', 'CARDINAL'), ('7', 'MONEY'), ('170', 'CARDINAL')]",,,,,,"{('7', 'MONEY'), ('170', 'CARDINAL'), ('19\x92', 'CARDINAL')}"
90,1058204414077534208,"Kashi Jyotish is a renowned Numerologist, Gemologist, Rudraksh Consultant, famous astrologer Scientific Vastu Expert practicing since last 15 yrs.","[('Numerologist', 'ORG'), ('Rudraksh Consultant', 'ORG'), ('Scientific Vastu Expert', 'PERSON'), ('last 15 yrs', 'DATE')]",,,"{'Numerologist', 'Rudraksh Consultant'}",,,"{('last 15 yrs', 'DATE'), ('Scientific Vastu Expert', 'PERSON')}"
91,1090826160198508545,"Policy Analyst and Advocate in Denver, Colorado #Singlepayer #EducationReform #RCV #PrisonReform #Green #PeopleOverProfits
simonvoltemond@gmail.com","[('Advocate', 'ORG'), ('Denver', 'GPE'), ('Colorado', 'GPE'), ('#EducationReform #RCV #', 'MONEY'), ('PrisonReform', 'ORG')]","{'Denver', 'Colorado'}",,"{'PrisonReform', 'Advocate'}",,,"('#EducationReform #RCV #', 'MONEY')"
92,1085941912673050624,<U+0001D4A9><U+0001D452><U+0001D4CB><U+0001D452><U+0001D4C7> <U+0001D454><U+0001D45C><U+0001D4C3><U+0001D4C3><U+0001D4B6> <U+0001D4C1><U+0001D452><U+0001D4C9> <U+0001D4CE><U+0001D45C><U+0001D4CA> <U+0001D454><U+0001D45C> <U+0001F966>,"('U+0001D4A9><U+0001D452><U+0001D4CB><U+0001D452><U+0001D4C7', 'NORP')",,,,U+0001D4A9><U+0001D452><U+0001D4CB><U+0001D452><U+0001D4C7,,
93,978464898094166016,"Psychic Relic is a new age groove oriented jam band diving into rock, blues, classical music, and dance with a jazz-funk fusion flair. Based out of Akron, Ohio","[('Akron', 'GPE'), ('Ohio', 'GPE')]","{'Akron', 'Ohio'}",,,,,
94,857524552984932353,Head Sales African Leadership Magazine(UK),,,,,,,
95,2407889293,Arkansas Tech University ZTA,"('Arkansas Tech University \x95ZTA\x95', 'ORG')",,,Arkansas Tech University ZTA,,,
96,21039204,"CoFounder of @MoJoToronto, Freelance Writer, and Blogger - #ThePopcornPeriodical

Interests, jokes, ideas, activism, reviews, news & joys! #OneLove2019 <U+2764><U+0001F308><U+0001F37F>","[('Freelance Writer', 'PERSON'), ('Blogger - #', 'ORG'), ('&', 'ORG'), ('OneLove2019', 'MONEY')]",,,"{'Blogger - #', '&'}",,,"{('OneLove2019', 'MONEY'), ('Freelance Writer', 'PERSON')}"
97,1082186434969260032,"Manufacturer, Wholesaler & Exporterer of Cricket Accessories in Meerut (INDIA), We have best exporting quality Equipment.","[('Manufacturer', 'ORG'), ('Wholesaler & Exporterer', 'ORG'), ('Cricket Accessories', 'ORG'), ('Meerut', 'GPE'), ('INDIA', 'GPE')]","{'INDIA', 'Meerut'}",,"{'Wholesaler & Exporterer', 'Cricket Accessories', 'Manufacturer'}",,,
98,166452335,"@USNavy veteran <U+2693><U+FE0F> @petermanningnyc 
Now: Creative/Fashion Brand Consultant<U+0001F935>Passionate about the digital+fashion retail+eCommerce space","[('@USNavy', 'ORG'), ('@petermanningnyc', 'PERSON'), ('\r\nNow', 'TIME')]",,,@USNavy,,,"{('\r\nNow', 'TIME'), ('@petermanningnyc', 'PERSON')}"
99,2561405393,Award winning Nigerian political cartoonists & Illustrator,"[('Nigerian', 'NORP'), ('& Illustrator', 'ORG')]",,,& Illustrator,Nigerian,,
100,1059008389156560898,"We've laughed, I've cried, but you were the most supportive one I had. Gone forever, but we're together, you'll always be with me inside.<U+0001F33C>",,,,,,,
101,3121471733,Man on a misssion...Mars!,"('Mars', 'LOC')",,Mars,,,,
102,4910976056,<U+0001F919>,,,,,,,
103,1089872108610564098,am a water engineer and am period of it,,,,,,,
104,290428965,"Love Sailor Moon; Dr. Who; Arrow; video games, DC and Marvel; Dark Shadows; Penny Dreadful; True Blood.","[('Arrow', 'DATE'), ('DC and Marvel', 'ORG'), ('Dark Shadows', 'PERSON'), ('Penny Dreadful', 'PERSON')]",,,DC and Marvel,,,"{('Penny Dreadful', 'PERSON'), ('Dark Shadows', 'PERSON'), ('Arrow', 'DATE')}"
105,1089617869107798016,to lead people in humanitarian way......,,,,,,,
106,916387714446057472,<U+26BE><U+FE0F><U+0001F3C8><U+0001F3C0><U+0001F3BC>,,,,,,,
107,1090848925836165121,"Spiritual warrior , Battle angel, Chief Wizard, Chief Warlock, Shaman, Witchdoctor","[('Battle', 'PERSON'), ('Wizard', 'PERSON'), ('Shaman', 'PERSON')]",,,,,,"{('Wizard', 'PERSON'), ('Shaman', 'PERSON'), ('Battle', 'PERSON')}"
108,506942920,Videos and reports - Capturing the Essence of The Greek American Community,"[('Videos', 'GPE'), ('The Greek American Community', 'ORG')]",Videos,,The Greek American Community,,,
109,1090837718148382720,Dog and cannabis lovers! This is a place for us to come together and celebrate over our common love for cannabis and our best friends: DOGS,,,,,,,
110,3026515970,I rap and I go hard inna paint ... #FreeTucka #FreeDeddy #FreePumpkin #FreeTeeka #FreeHellRell #FreeSnook #FreeG #FreeMoney,"[('FreeTucka', 'PERSON'), ('#FreeDeddy', 'MONEY'), ('#', 'CARDINAL'), ('FreePumpkin', 'ORG'), ('#FreeTeeka #', 'MONEY'), ('FreeMoney', 'MONEY')]",,,FreePumpkin,,,"{('FreeMoney', 'MONEY'), ('FreeTucka', 'PERSON'), ('#', 'CARDINAL'), ('#FreeTeeka #', 'MONEY'), ('#FreeDeddy', 'MONEY')}"
111,2303289241,Concerned_Mom.,,,,,,,
112,889971030093168642,Nice guy happy to meet people and make new friends,,,,,,,
113,419927306,"mom, anglophile, college graduate, free spirit, love volunteering, german stuff.",,,,,,,
114,979979094371713025,I marketing Manager,,,,,,,
115,2345305855,Economist | Computer Scientist | Sports Guy,,,,,,,
116,1329710935,talentless<U+0001F636><U+0001F614>,,,,,,,
117,1090555731114225664,Just letting human beings be all that they can be.,,,,,,,
118,3113167794,Get to know me and you'll never regret knowing me.,,,,,,,
119,28700998,leadership pro,,,,,,,
120,1041980814316236800,"I just need love 

#follow #followback #followforfollow","[('\r\n\r\n#', 'MONEY'), ('#', 'CARDINAL')]",,,,,,"{('\r\n\r\n#', 'MONEY'), ('#', 'CARDINAL')}"
121,757815514483744768,Sub to Pewdiepie!,"('Pewdiepie', 'ORG')",,,Pewdiepie,,,
122,474396536,"human being, resident of Earth. #GoSensGo","('Earth', 'LOC')",,Earth,,,,
123,452314025,<U+2696><U+FE0F> | @milanistiorid | fanculo a chi non tifa rossoner!,,,,,,,
124,202329400,Offensive Coordinator/QBs/Academic success coach at Pacific Lutheran U. #3DCoach #TheShow #GoLutes @PLUFootball,"[('Pacific Lutheran U.', 'ORG'), ('3DCoach', 'MONEY'), ('#TheShow #', 'MONEY'), ('GoLutes @PLUFootball', 'ORG')]",,,"{'Pacific Lutheran U.', 'GoLutes @PLUFootball'}",,,"{('#TheShow #', 'MONEY'), ('3DCoach', 'MONEY')}"
125,842188755968622592,Let go and let God<U+2728>,,,,,,,
126,27446164,"I do technology at Gross Catholic High School. I am a husband of 1, father of 2, soccer coach of many.","[('Gross Catholic High School', 'ORG'), ('1', 'CARDINAL'), ('2', 'CARDINAL')]",,,Gross Catholic High School,,,"{('2', 'CARDINAL'), ('1', 'CARDINAL')}"
127,731042059,This is how I get my news in 2019.,"('2019', 'DATE')",,,,,,"('2019', 'DATE')"
128,1088087509567864833,"Siri Sampada Group, founded in 2013 holds the spotlight when it comes to #realestate #investment models having phenomenal growth in the recent years. #telangana","[('Siri Sampada Group', 'ORG'), ('2013', 'DATE'), ('#realestate', 'MONEY'), ('#', 'CARDINAL'), ('the recent years', 'DATE')]",,,Siri Sampada Group,,,"{('the recent years', 'DATE'), ('#realestate', 'MONEY'), ('2013', 'DATE'), ('#', 'CARDINAL')}"
129,2918168731,Benjamin Israelite <U+0001F43A><U+0001F934><U+0001F3FE> Surely oppression maketh a wise man mad; and a gift destroyeth the heart. Ecclesiastes 7:7 |Wise Watchmen| Stay Woke<U+0001F647><U+0001F3FE><U+200D><U+2642><U+FE0F> <U+00010909><U+00010904><U+00010905><U+00010904>,"[('Benjamin Israelite', 'PERSON'), ('U+0001F43A><U+0001F934><U+0001F3FE>\x94 Surely', 'GPE'), ('Ecclesiastes', 'FAC'), ('7:7', 'CARDINAL')]",U+0001F43A><U+0001F934><U+0001F3FE> Surely,,,,,"{('Ecclesiastes', 'FAC'), ('7:7', 'CARDINAL'), ('Benjamin Israelite', 'PERSON')}"
130,1090835114127310848,Made a new account because my stan account is embarrassing!,,,,,,,
131,1071914735019401216,"F*ck out of my way when you see me, Im rolling with the LGBT! <U+0001F618><U+0001F3F3><U+FE0F><U+200D><U+0001F308>                      -Cupcakke <U+2764><U+FE0F>","('LGBT', 'ORG')",,,LGBT,,,
132,1021285114435649536,"Single Daddy

Not sending picture",,,,,,,
133,2548870499,"A 4tographer who's aiming to get 2 d top...given yu the real image of urself....booking 4 ur birthday party,weeding,etc... Yu can call me on:09067199145","[('2', 'CARDINAL'), ('4', 'CARDINAL'), ('Yu', 'PERSON')]",,,,,,"{('Yu', 'PERSON'), ('2', 'CARDINAL'), ('4', 'CARDINAL')}"
134,2733550331,"if it will benefit the man next door,  then do it.",,,,,,,
135,1090088328332865536,follow me i will follow back <U+2764><U+FE0F>,,,,,,,
136,2221248650,useless anxious bisexual imbecile,,,,,,,
137,994674471771525120,"Hi, I am syfy88man otherwise known as Jimmy Jr I am an MMO gamer and game streamer. I am part of Star Trek Online Fleet called Specialized Attack Squadron.","[('Jimmy Jr', 'PERSON'), ('MMO', 'ORG'), ('Star Trek Online Fleet', 'WORK_OF_ART'), ('Specialized Attack Squadron', 'ORG')]",,,"{'MMO', 'Specialized Attack Squadron'}",,Star Trek Online Fleet,"('Jimmy Jr', 'PERSON')"
138,28445806,Paul K. Culver is a second generation builder and has been serving customers in our area for over three decades.,"[('Paul K. Culver', 'PERSON'), ('second', 'ORDINAL'), ('over three decades', 'DATE')]",,,,,,"{('second', 'ORDINAL'), ('over three decades', 'DATE'), ('Paul K. Culver', 'PERSON')}"
139,913518727731093504,Instagram @ baby.bledsoe,"('Instagram', 'GPE')",Instagram,,,,,
140,3042197686,Perfect gentle man,,,,,,,
141,1087431598172262405,pa<U+03B9>da<U+03B3><U+03C9><U+03B3><U+03CC><U+03C2> p<U+03C1><U+03BF>s<U+03C7><U+03BF><U+03BB><U+03B9><U+03BA><U+03AE><U+03C2> <U+03B7><U+03BB><U+03B9><U+03BA><U+03AF>a<U+03C2>,"('U+03C1><U+03BF', 'PERSON')",,,,,,"('U+03C1><U+03BF', 'PERSON')"
142,373312182,dedicated soul_arsenal freak_football lover<U+26BD>_programmer_computer scientist <U+2693>,"('U+2693', 'PERSON')",,,,,,"('U+2693', 'PERSON')"
143,276890646,Naanu naane!,,,,,,,
144,1089426406231195648,My hand work means a lot to me <U+0001F60E><U+0001F60E>,,,,,,,
145,962904916162437120," 23 year-old Indian man
 Management consultant
 Wants to drive social change through his communicative abilities","[('23 year-old', 'DATE'), ('Indian', 'NORP'), ('\x95 Management', 'ORG')]",,, Management,Indian,,"('23 year-old', 'DATE')"
