"","doc_id","token","upos","Entity","pos_previous","pos_next","token_previous","token_next"
"28791","doc3640","videos","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=music","token[w-1]=point"
"12695","doc1590","uufeflive","ADJ","Irrelavant","pos[w-1]=ADJ","pos[w+1]=ADJ","token[w-1]=ufe","token[w-1]=laugh"
"12176","doc1523","america","ADP","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=women","token[w-1]=wonders"
"9468","doc1180","opportunities","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=new","token[w-1]=email"
"16314","doc2048","<U+393C><U+3E32>s","NOUN","Irrelavant",NA,NA,NA,NA
"27656","doc3488","scicomm","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=ecology","token[w-1]=badminton"
"23142","doc2906","e","X","Irrelavant","pos[w-1]=X","pos[w+1]=X","token[w-1]=coisas","token[w-1]=apreciador"
"17085","doc2141","time","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=full","token[w-1]=dreamer"
"13726","doc1727","rise","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=rise","token[w-1]=lambs"
"24812","doc3116","rbsoul","NOUN","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=celebrity",NA
"19221","doc2411","news","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=nigeriaafrica","token[w-1]=video"
"24458","doc3068","lovely","ADJ","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=beautiful","token[w-1]=uuu"
"21680","doc2720","optimist","NOUN","Irrelavant","pos[w-1]=ADJ",NA,"token[w-1]=hard",NA
"3662","doc460","music","NOUN","Hobbies","pos[w-1]=NOUN",NA,"token[w-1]=sports",NA
"15732","doc1973","can","AUX","Irrelavant","pos[w-1]=PRON","pos[w+1]=VERB","token[w-1]=body","token[w-1]=help"
"2483","doc318","theitcrowd","ADV","Irrelavant","pos[w-1]=INTJ","pos[w+1]=VERB","token[w-1]=please","token[w-1]=fatherted"
"15217","doc1913","yrs","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADV","token[w-1]=star","token[w-1]=now"
"26908","doc3392","vocal","ADJ","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=politics"
"17373","doc2177","buildthewall","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=AUX","token[w-1]=constitution","token[w-1]=will"
"15830","doc1986","whos","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=chick","token[w-1]=short"
"24398","doc3061","two","NUM","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=father","token[w-1]=young"
"5330","doc665","advantage","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=ADP","token[w-1]=informational","token[w-1]=save"
"11294","doc1396","wembley","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=account","token[w-1]=restaurant"
"27233","doc3434","contract","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=PUNCT","token[w-1]=lot","token[w-1]=<U+393C><U+3E32>"
"23902","doc3000","best","ADJ","Irrelavant","pos[w-1]=X","pos[w+1]=NOUN","token[w-1]=de","token[w-1]=play"
"30769","doc3872","born","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=county","token[w-1]=small"
"16191","doc2028","hate","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=libs","token[w-1]=human"
"24516","doc3076","often","ADV","Irrelavant","pos[w-1]=AUX","pos[w+1]=VERB","token[w-1]=can","token[w-1]=found"
"15856","doc1988","self","NOUN","Irrelavant","pos[w-1]=PRON","pos[w+1]=PRON","token[w-1]=thy","token[w-1]=thy"
"9235","doc1156","husband","NOUN","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=teacher"
"31108","doc3916","man","X","Irrelavant","pos[w-1]=X","pos[w+1]=NOUN","token[w-1]=super","token[w-1]=ajalaufuffauffufeeuff"
"22318","doc2799","communications","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADP","token[w-1]=mngr","token[w-1]=jepson"
"25887","doc3262","revivalist","NOUN","Irrelavant","pos[w-1]=ADP",NA,"token[w-1]=spirita",NA
"6045","doc753","beckett","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=leeds","token[w-1]=childhood"
"28866","doc3649","twitter","NOUN","Organization","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=official","token[w-1]=handle"
"14430","doc1821","musicaddict","X","Irrelavant","pos[w-1]=X","pos[w+1]=NOUN","token[w-1]=uvoicelover","token[w-1]=chickenbiriyanipiriyan"
"8363","doc1045","followbackufaf","DET","Irrelavant","pos[w-1]=VERB","pos[w+1]=ADJ","token[w-1]=ifb","token[w-1]=ufueuduauedufc"
"6582","doc821","moses","NOUN","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=elijah",NA
"23866","doc2997","vocalist","NOUN","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=artist"
"14646","doc1848","random","NOUN","Irrelavant","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=break","token[w-1]=babble"
"6996","doc871","lawyer","NOUN","Profession","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=sister","token[w-1]=patriot"
"4108","doc511","translated","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=criticism","token[w-1]=languages"
"17865","doc2240","httpstcovuzdclnesk","NOUN","Irrelavant","pos[w-1]=X",NA,"token[w-1]=khueao",NA
"22187","doc2776","technology","NOUN","Profession","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=sports","token[w-1]=science"
"22042","doc2760","sat","VERB","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=mon",NA
"28675","doc3626","deist","NOUN","Irrelavant","pos[w-1]=ADP","pos[w+1]=NOUN","token[w-1]=introvert","token[w-1]=makeup"
"4565","doc573","specializing","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=company","token[w-1]=commercial"
"13764","doc1730","uffauffkamala","ADP","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=uf","token[w-1]=harris"
"14023","doc1766","journalist","NOUN","Profession",NA,"pos[w+1]=NOUN",NA,"token[w-1]=producer"
"27768","doc3507","player","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=basketballbaseball","token[w-1]=coachmember"
"2790","doc355","always","ADV","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=reader","token[w-1]=curious"
"30423","doc3828","lover","NOUN","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=music",NA
"10554","doc1304","coach","NOUN","Profession","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=exec","token[w-1]=author"
"8896","doc1110","world","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=warming","token[w-1]=media"
"26129","doc3298","free","ADJ","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=spirit"
"20406","doc2553","every","DET","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=person","token[w-1]=day"
"12761","doc1600","grandma","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=ADV","token[w-1]=new","token[w-1]=happily"
"2092","doc271","currently","ADV","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=tikkytak","token[w-1]=playing"
"22757","doc2859","amaze","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=days","token[w-1]=days"
"4896","doc612","tracker","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=car","token[w-1]=<U+393C><U+3E32>s"
"17910","doc2246","pa","X","Irrelavant","pos[w-1]=X","pos[w+1]=X","token[w-1]=tora","token[w-1]=lass"
"22653","doc2847","next","ADJ","Organization","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=show","token[w-1]=weeks"
"27030","doc3409","across","ADP","Irrelavant","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=lost","token[w-1]=places"
"27642","doc3487","best","ADJ","Irrelavant","pos[w-1]=VERB","pos[w+1]=ADJ","token[w-1]=try","token[w-1]=positive"
"28046","doc3539","sleeper","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=professional","token[w-1]=bipolar"
"20957","doc2622","center","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=grade","token[w-1]=assistant"
"29748","doc3745","years","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=husband","token[w-1]=name"
"1898","doc249","husband","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=owner","token[w-1]=best"
"112","doc13","professional","ADJ","Profession","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=solutions","token[w-1]=services"
"29166","doc3676","blessed","VERB","Irrelavant","pos[w-1]=AUX","pos[w+1]=ADV","token[w-1]=worldstay","token[w-1]=never"
"4293","doc534","pop","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=movies","token[w-1]=culture"
"20384","doc2552","join","X","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADV","token[w-1]=production","token[w-1]=south"
"17567","doc2200","pewdiepie","NOUN","Irrelavant","pos[w-1]=VERB",NA,"token[w-1]=subscribe",NA
"24192","doc3039","fill","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=politics","token[w-1]=days"
"18424","doc2315","uuudueu","X","Irrelavant","pos[w-1]=X","pos[w+1]=X","token[w-1]=uuuueucu","token[w-1]=uauuudu"
"6067","doc755","organizer","NOUN","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=community",NA
"2750","doc351","lingerie","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=photographer","token[w-1]=model"
"18979","doc2382","african","ADJ","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=proud","token[w-1]=warrior"
"8408","doc1048","nursing","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=skilled","token[w-1]=care"
"706","doc94","music","NOUN","Hobbies","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=classical","token[w-1]=dance"
"1367","doc185","grower","NOUN","Irrelavant","pos[w-1]=ADJ",NA,"token[w-1]=blueberry",NA
"18879","doc2371","never","ADV","Irrelavant","pos[w-1]=AUX","pos[w+1]=VERB","token[w-1]=will","token[w-1]=change"
"31268","doc3933","proud","AUX","Personality","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=student","token[w-1]=born"
"1574","doc206","mennonite","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=connoisseur","token[w-1]=audiophile"
"19632","doc2464","things","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=lover","token[w-1]=coffee"
"3391","doc426","channel","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=mojalove","token[w-1]=dstv"
"30923","doc3892","uau","X","Irrelavant","pos[w-1]=ADJ","pos[w+1]=ADJ","token[w-1]=uuud","token[w-1]=uufuucube"
"3587","doc449","characters","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=lot","token[w-1]=character"
"26974","doc3401","liberty","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=freedom","token[w-1]=justice"
"19899","doc2494","bay","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=sissy","token[w-1]=area"
"29152","doc3675","agencies","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=officials","token[w-1]=government"
"23044","doc2894","n","NOUN","Irrelavant","pos[w-1]=X","pos[w+1]=AUX","token[w-1]=follow","token[w-1]=youll"
"8703","doc1083","email","NOUN","Irrelavant","pos[w-1]=ADP","pos[w+1]=NOUN","token[w-1]=via","token[w-1]=mpl"
"5580","doc697","advocate","NOUN","Profession","pos[w-1]=ADP","pos[w+1]=CCONJ","token[w-1]=empower","token[w-1]=nd"
"24131","doc3032","faithful","ADJ","Personality",NA,"pos[w+1]=ADJ",NA,"token[w-1]=black"
"40","doc4","tweet","X","Irrelavant","pos[w-1]=X","pos[w+1]=X","token[w-1]=dm","token[w-1]=entrepreneur"
"27859","doc3518","truthful","ADJ","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=actress","token[w-1]=respectful"
"26492","doc3346","gender","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=lgbt","token[w-1]=studies"
"13642","doc1714","honor","NOUN","Irrelavant","pos[w-1]=PROPN","pos[w+1]=NOUN","token[w-1]=states","token[w-1]=duty"
"897","doc122","sub","ADJ","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=pewdiepie"
"9888","doc1228","give","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=cant","token[w-1]=im"
"16461","doc2064","friends","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=life","token[w-1]=get"
"10981","doc1359","go","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=tradition","token[w-1]=bucks"
"21792","doc2735","just","ADV","Irrelavant","pos[w-1]=AUX","pos[w+1]=VERB","token[w-1]=can","token[w-1]=slip"
"12664","doc1587","think","VERB","Irrelavant",NA,"pos[w+1]=VERB",NA,"token[w-1]=mind"
"3894","doc486","try","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=afraid","token[w-1]=standup"
"27112","doc3418","behavior","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=people","token[w-1]=says"
"10436","doc1294","reader","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADP","token[w-1]=world","token[w-1]=thinker"
"21072","doc2644","fiction","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=VERB","token[w-1]=urban","token[w-1]=personified"
"26188","doc3306","register","VERB","Irrelavant","pos[w-1]=CCONJ","pos[w+1]=DET","token[w-1]=bonus","token[w-1]=merry"
"15787","doc1980","will","AUX","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=somdprincesses","token[w-1]=make"
"11068","doc1371","rights","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=human","token[w-1]=activist"
"19168","doc2406","i","PRON","Irrelavant","pos[w-1]=NOUN","pos[w+1]=AUX","token[w-1]=trust","token[w-1]=m"
"20060","doc2514","quite","DET","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=simple","token[w-1]=guy"
"10440","doc1294","animal","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=indian","token[w-1]=rights"
"21218","doc2662","big","ADJ","Irrelavant","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=diet","token[w-1]=mouth"
"22012","doc2758","community","NOUN","Profession","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=cod","token[w-1]=college"
"19999","doc2506","family","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=friends","token[w-1]=fear"
"14210","doc1788","gon","VERB","Irrelavant","pos[w-1]=VERB","pos[w+1]=PART","token[w-1]=know","token[w-1]=na"
"22546","doc2834","thai","NOUN","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=pad",NA
"15570","doc1955","spoil","NOUN","Irrelavant","pos[w-1]=ADV","pos[w+1]=ADJ","token[w-1]=necessarily","token[w-1]=good"
"8172","doc1026","believer","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=writer","token[w-1]=goal"
"13893","doc1747","women","ADJ","Irrelavant","pos[w-1]=X","pos[w+1]=NOUN","token[w-1]=u","token[w-1]=<U+393C><U+3E32>s"
"25212","doc3165","hotel","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=gardens","token[w-1]=facility"
"26087","doc3291","united","ADJ","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=man","token[w-1]=study"
"10223","doc1266","udfudbu","X","Irrelavant","pos[w-1]=X","pos[w+1]=X","token[w-1]=uuaudbuudss","token[w-1]=udududb"
"10341","doc1283","old","ADJ","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=grumpy","token[w-1]=man"
"19376","doc2437","speaker","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=ADP","token[w-1]=public","token[w-1]=astro"
"10368","doc1286","aviatorufduffufec","X","Irrelavant",NA,"pos[w+1]=X",NA,"token[w-1]=insta"
"6478","doc810","hates","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=VERB","token[w-1]=sagittarius","token[w-1]=doubted"
"22313","doc2798","gum","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=bubble","token[w-1]=im"
"25113","doc3151","planning","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=estate","token[w-1]=uakron"
"26520","doc3347","gunrights","NOUN","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=gunowner",NA
"7291","doc912","lie","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=women","token[w-1]=men"
"16628","doc2087","stpatricks","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADP","token[w-1]=standrews","token[w-1]=fraser"
"23253","doc2924","environmentalist","VERB","Irrelavant",NA,"pos[w+1]=X",NA,"token[w-1]=fc"
"20816","doc2607","grace","NOUN","Irrelavant","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=blessed","token[w-1]=mercy"
"20844","doc2609","first","ADV","Irrelavant","pos[w-1]=PROPN","pos[w+1]=VERB","token[w-1]=god","token[w-1]=love"
"3930","doc490","social","ADJ","Profession","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=community","token[w-1]=development"
"13573","doc1707","joint","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADP","token[w-1]=time","token[w-1]=o"
"16150","doc2024","art","NOUN","Irrelavant","pos[w-1]=PRON","pos[w+1]=ADJ","token[w-1]=u","token[w-1]=ufbc"
"1525","doc202","businesswoman","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=successful","token[w-1]=ceo"
"16758","doc2102","admin","ADJ","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=business","token[w-1]=problack"
"27645","doc3487","loving","VERB","Personality","pos[w-1]=NOUN","pos[w+1]=PRON","token[w-1]=kind","token[w-1]=everyone"
"22060","doc2764","politics","NOUN","Hobbies","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=discuss","token[w-1]=culture"
"30524","doc3843","kano","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=hjufd","token[w-1]=girl"
"9733","doc1211","ufeuff","NOUN","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=girl",NA
"23133","doc2903","uufefdanielbfeb","NOUN","Irrelavant","pos[w-1]=NOUN",NA,"token[w-1]=dylanthefishy",NA
"24514","doc3076","enthusiast","ADV","Irrelavant","pos[w-1]=NOUN","pos[w+1]=AUX","token[w-1]=book","token[w-1]=can"
"16373","doc2055","writer","NOUN","Profession","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=producer","token[w-1]=artist"
"15006","doc1888","british","ADJ","Irrelavant",NA,"pos[w+1]=ADJ",NA,"token[w-1]=european"
"4955","doc619","die","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=cricket","token[w-1]=hard"
"9312","doc1162","manouvering","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=fibre","token[w-1]=fascia"
"214","doc32","comment","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=PRON","token[w-1]=umbrage","token[w-1]=youre"
"26880","doc3388","qanon","ADP","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=draintheswamp","token[w-1]=ingodwetrust"
"22690","doc2850","funny","ADJ","Personality","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=quotes","token[w-1]=moments"
"7991","doc1008","records","NOUN","Irrelavant","pos[w-1]=ADJ",NA,"token[w-1]=prosthetic",NA
"24323","doc3054","colour","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=VERB","token[w-1]=favourite","token[w-1]=believes"
"12896","doc1615","directorshirwac","ADJ","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=company"
"17720","doc2224","son","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=kids","token[w-1]=heaven"
"1076","doc146","yearold","ADJ","Irrelavant","pos[w-1]=PUNCT","pos[w+1]=ADJ","token[w-1]=<U+393C><U+3E35>","token[w-1]=indian"
"5116","doc643","time","NOUN","Irrelavant","pos[w-1]=ADV","pos[w+1]=VERB","token[w-1]=ever","token[w-1]=speak"
"6569","doc819","mentor","NOUN","Profession","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=husband","token[w-1]=competent"
"22788","doc2864","journalist","NOUN","Profession",NA,"pos[w+1]=NOUN",NA,"token[w-1]=communicator"
"7183","doc897","home","ADV","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=movies","token[w-1]=renovation"
"19090","doc2395","friendsscorpio","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=family","token[w-1]=sign"
"7740","doc965","towards","SCONJ","Irrelavant","pos[w-1]=VERB","pos[w+1]=VERB","token[w-1]=working","token[w-1]=becoming"
"7788","doc975","love","VERB","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=arizona"
"13458","doc1687","tree","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=professional","token[w-1]=services"
"26769","doc3377","tau","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=reportonclimateuff","token[w-1]=vr"
"17125","doc2144","called","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADV","token[w-1]=thing","token[w-1]=nether"
"20432","doc2555","world","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=gaming","token[w-1]=operationfield"
"29594","doc3729","southern","ADJ","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=junkie","token[w-1]=reborn"
"29212","doc3680","right","ADJ","Irrelavant","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=believe","token[w-1]=truth"
"25471","doc3200","edu","X","Irrelavant","pos[w-1]=X","pos[w+1]=X","token[w-1]=sc","token[w-1]=ebonyi"
"17813","doc2235","started","VERB","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=work"
"5505","doc687","athletes","NOUN","Irrelavant","pos[w-1]=VERB","pos[w+1]=ADV","token[w-1]=executives","token[w-1]=worldwide"
"2216","doc287","im","ADJ","Irrelavant",NA,"pos[w+1]=ADJ",NA,"token[w-1]=straight"
"19829","doc2486","nothing","PRON","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=man","token[w-1]=comes"
"20375","doc2550","parents","NOUN","Irrelavant","pos[w-1]=VERB",NA,"token[w-1]=lovesask",NA
"24809","doc3116","amazing","ADJ","Irrelavant","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=trending","token[w-1]=music"
"19204","doc2409","ilmu","PRON","Irrelavant","pos[w-1]=X","pos[w+1]=VERB","token[w-1]=mempelajari","token[w-1]=tentang"
"2525","doc321","uffueueueueueuefindy","ADJ","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=supporter"
"24543","doc3081","ufdyou","PRON","Irrelavant","pos[w-1]=PRON","pos[w+1]=VERB","token[w-1]=everything","token[w-1]=got"
"27536","doc3472","young","ADJ","Irrelavant",NA,"pos[w+1]=ADJ",NA,"token[w-1]=vibrant"
"19850","doc2489","austin","ADP","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=agliff","token[w-1]=exercise"
"14448","doc1826","around","ADV","Irrelavant","pos[w-1]=VERB","pos[w+1]=PRON","token[w-1]=comes","token[w-1]=whatever"
"7695","doc959","sheher","SCONJ","Irrelavant","pos[w-1]=NOUN","pos[w+1]=VERB","token[w-1]=opinion","token[w-1]=developing"
"20909","doc2616","freedom","NOUN","Irrelavant","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=believe","token[w-1]=fairness"
